identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente,prix_de_vente_log,age_maison,age_renovation,age_garage,surface_totale,surface_totale_porches,total_salles_bain,presence_garage
264,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,50,5500,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Vieille Ville,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Bon,1929,2001,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,234,Fini - Moyenne,692,0,926.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,926,0,390,1316,1,0,1,0,3,1,Moyen,6,Typ,0,NA,Détaché de la maison,1974.0,Non aménagé,2,484,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Avril,2010,Acte de garantie - Conventionnel,Vente normale,130000,11.775297421715829,81,9,36.0,1852.0,0,2.0,1
265,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,30,5232,Pavé,Gravier,Irrégulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1925,2004,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,BrkTil,Médiocre,Moyen,Aucune exposition,Non fini,0,Non fini,0,680,680.0,Chauffage à gaz,Bon,Non,Fusibles et câblage de mauvaise qualité,764,0,0,764,0,0,1,0,2,1,Moyen,4,Typ,0,NA,Détaché de la maison,1965.0,Non aménagé,2,504,Moyen,Moyen,Gravier/Terre,0,0,0,0,0,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,73000,11.19822841866684,83,4,43.0,1444.0,0,1.0,1
266,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,78,12090,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,1981,1981,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,210,Moyen,Bon,CBlock,Bon,Moyen,Aucune exposition,Fini - Excellent,588,Fini - Qualité inférieure,228,606,1422.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1422,0,0,1422,0,0,2,0,3,1,Bon,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1981.0,Aménagé,2,576,Moyen,Moyen,Pavé,276,0,0,0,0,0,NA,Bonne intimité,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,175500,12.075400019877522,27,27,27.0,2844.0,0,2.0,1
267,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,70,11207,Pavé,NA,Légèrement irrégulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,1997,1997,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,714,Non fini,0,88,802.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,802,709,0,1511,1,0,2,1,3,1,Moyen,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1997.0,Aménagé,2,413,Moyen,Moyen,Pavé,95,75,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,185000,12.128116509451258,9,9,9.0,2313.0,75,3.5,1
268,2 ÉTAGES ET DEMI - TOUS ÂGES,Résidentiel basse densité,60,8400,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Sud et Ouest de l'Université d'État de l'Iowa,Normale,Normale,Maison individuelle,"Deux étages et demi, aménagé",Moyenne,Très bon,1939,1997,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,378,Non fini,0,342,720.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1052,720,420,2192,0,0,2,1,4,1,Bon,8,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1939.0,Non aménagé,1,240,Moyen,Moyen,Pavé,262,24,0,0,0,0,NA,NA,NA,0,Juillet,2008,Acte de garantie - Conventionnel,Vente normale,179500,12.097936057925594,69,11,69.0,2492.0,24,2.5,1
269,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,71,6900,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1940,1955,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,403,Fini - Salle de jeux,125,212,740.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,778,0,0,778,0,0,1,0,2,1,Moyen,4,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1966.0,Aménagé,1,924,Excellent,Excellent,Pavé,0,25,0,0,0,0,NA,NA,NA,0,Février,2008,Acte de garantie - Conventionnel,Vente normale,120500,11.6994133306336,68,53,42.0,1518.0,25,1.0,1
270,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,7917,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Bon,1976,1976,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,174,Moyen,Bon,CBlock,Moyen,Bon,Aucune exposition,Partiellement fini,751,Non fini,0,392,1143.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1113,0,0,1113,1,0,1,1,3,1,Moyen,6,Typ,1,Médiocre - Préfabriquée au sous-sol,Attaché à la maison,1987.0,Partiellement aménagé,1,504,Moyen,Bon,Pavé,370,30,0,0,0,0,NA,Bonne intimité,NA,0,Mai,2007,Acte de garantie - Conventionnel,Vente normale,148000,11.904974309480185,31,31,20.0,2256.0,30,2.5,1
271,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel flottant,84,10728,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2006,2006,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Exposition moyenne,Non fini,0,Non fini,0,1095,1095.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1095,844,0,1939,0,0,2,1,3,1,Bon,8,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2006.0,Partiellement aménagé,3,1053,Moyen,Moyen,Pavé,192,51,0,0,0,0,NA,NA,NA,0,Août,2006,Maison neuve construite et vendue,Maison incomplète,266000,12.491255347155263,0,0,0.0,3034.0,51,2.5,1
272,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,73,39104,Pavé,NA,Légèrement irrégulier,Dépression,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente sévère,Clear Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Bon,1954,2005,Plat,Membrane,Contreplaqué,Contreplaqué,Aucune,0,Moyen,Moyen,CBlock,Bon,Moyen,Bonne exposition,Fini - Qualité inférieure,226,Fini - Excellent,1063,96,1385.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1363,0,0,1363,1,0,1,0,2,1,Moyen,5,Mod,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1954.0,Non aménagé,2,439,Moyen,Moyen,Pavé,81,0,0,0,0,0,NA,NA,NA,0,Avril,2008,Acte de garantie - Conventionnel,Vente normale,241500,12.39462889285294,54,3,54.0,2748.0,0,2.0,1
273,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,92,11764,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Bon,1999,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,348,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,524,Non fini,0,628,1152.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1164,1106,0,2270,0,0,2,1,4,1,Bon,9,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1999.0,Aménagé,3,671,Moyen,Moyen,Pavé,132,57,0,0,0,0,NA,NA,NA,0,Avril,2010,Acte de garantie - Conventionnel,Vente normale,290000,12.577639650232571,11,3,11.0,3422.0,57,2.5,1
274,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80,9600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,1958,1988,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques communes,183,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,620,Fini - Qualité inférieure,620,0,1240.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1632,0,0,1632,1,0,2,0,3,1,Moyen,6,Min1,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1958.0,Partiellement aménagé,1,338,Moyen,Moyen,Pavé,289,0,0,0,0,0,NA,Intimité minimale,NA,0,Avril,2009,Acte de garantie - Conventionnel,Vente normale,139000,11.842236406331557,51,21,51.0,2872.0,0,3.0,1
275,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,76,8314,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Mitchell,Normale,Normale,Maison individuelle,Un étage,Moyenne,Bon,1982,1982,Pignon,Bardeau composite standard,Panneau dur,Stuc imitation,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Bonne exposition,Fini - Moyenne,546,Non fini,0,270,816.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,816,0,0,816,0,0,1,0,2,1,Moyen,5,Typ,0,NA,Attaché à la maison,1982.0,Non aménagé,1,264,Moyen,Moyen,Pavé,168,0,0,0,0,0,NA,NA,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,124500,11.732069026983156,25,25,25.0,1632.0,0,1.0,1
276,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,55,7264,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Brookside,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Bon,Bon,1925,2007,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Bon,Bon,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,952,952.0,Chauffage à gaz (chaudière),Bon,Non,Disjoncteurs,952,596,0,1548,0,0,2,1,3,1,Excellent,5,Typ,0,NA,Détaché de la maison,1978.0,Non aménagé,2,672,Moyen,Moyen,Pavé,74,0,0,0,144,0,NA,NA,NA,0,Octobre,2009,Acte de garantie - Conventionnel,Vente normale,205000,12.230770136157428,84,2,31.0,2500.0,144,2.5,1
277,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,129,9196,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2003,2003,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Excellent,Moyen,Aucune exposition,Non fini,0,Non fini,0,1560,1560.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1560,0,0,1560,0,0,2,0,3,1,Bon,7,Typ,0,NA,Attaché à la maison,2003.0,Aménagé,2,573,Moyen,Moyen,Pavé,100,150,0,0,0,0,NA,NA,NA,0,Avril,2010,Acte de garantie - Conventionnel,Vente normale,201000,12.211065162153217,7,7,7.0,3120.0,150,2.0,1
278,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,140,19138,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Moyenne,1951,1951,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,120,Non fini,0,744,864.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,864,0,0,864,0,0,1,0,2,1,Moyen,4,Typ,0,NA,Détaché de la maison,1951.0,Non aménagé,2,400,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juin,2010,Acte de garantie - Conventionnel,Vente normale,141000,11.856522261533735,59,59,59.0,1728.0,0,1.0,1
279,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,107,14450,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Un étage,Excellent,Moyenne,2006,2007,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Briques en façade,315,Excellent,Moyen,PConc,Excellent,Moyen,Bonne exposition,Non fini,0,Non fini,0,2121,2121.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,2121,0,0,2121,0,0,2,1,3,1,Excellent,8,Typ,1,Excellent - Cheminée en maçonnerie exceptionnelle,Attaché à la maison,2007.0,Aménagé,3,732,Moyen,Moyen,Pavé,124,98,0,0,142,0,NA,NA,NA,0,Mai,2007,Maison neuve construite et vendue,Maison incomplète,415298,12.93675402171804,1,0,0.0,4242.0,240,2.5,1
280,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,83,10005,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Clear Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1977,1977,Pente,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,299,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Partiellement fini,392,Non fini,0,768,1160.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1156,866,0,2022,0,0,2,1,4,1,Moyen,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1977.0,Aménagé,2,505,Moyen,Moyen,Pavé,288,117,0,0,0,0,NA,NA,NA,0,Mars,2008,Acte de garantie - Conventionnel,Vente normale,192000,12.165255859329688,31,31,31.0,3182.0,117,2.5,1
281,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,82,11287,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Normale,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,1989,1989,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,340,Bon,Moyen,CBlock,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,421,Non fini,0,386,807.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1175,807,0,1982,0,0,2,1,3,1,Bon,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1989.0,Aménagé,2,575,Moyen,Moyen,Pavé,0,84,0,196,0,0,NA,NA,NA,0,Janvier,2007,Acte de garantie - Conventionnel,Vente normale,228500,12.339295865674435,18,18,18.0,2789.0,280,2.5,1
282,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel flottant,60,7200,Pavé,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,2006,2006,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,68,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,905,Non fini,0,357,1262.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1262,0,0,1262,0,0,2,0,2,1,Bon,5,Typ,0,NA,Attaché à la maison,2006.0,Aménagé,2,572,Moyen,Moyen,Pavé,0,120,0,0,0,0,NA,NA,NA,0,Mai,2006,Maison neuve construite et vendue,Maison incomplète,185000,12.128116509451258,0,0,0.0,2524.0,120,2.0,1
283,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,34,5063,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison de ville (intérieur),Un étage,Bon,Moyenne,2007,2008,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,166,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,904,Non fini,0,410,1314.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1314,0,0,1314,1,0,2,0,2,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2008.0,Partiellement aménagé,2,626,Moyen,Moyen,Pavé,172,62,0,0,0,0,NA,NA,NA,0,Avril,2009,Contrat - Acompte faible et faible taux d'intérêt,Vente normale,207500,12.242891437918386,2,1,1.0,2628.0,62,3.0,1
284,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,74,9612,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2008,2009,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,72,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,1468,1468.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1468,0,0,1468,0,0,2,0,3,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2008.0,Aménagé,3,898,Moyen,Moyen,Pavé,210,150,0,0,0,0,NA,NA,NA,0,Décembre,2009,Maison neuve construite et vendue,Maison incomplète,244600,12.407383590534293,1,0,1.0,2936.0,150,2.0,1
285,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,50,8012,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Normale,Normale,Maison de ville (bout),Un étage,Au-dessus de la moyenne,Moyenne,1992,1992,Pignon,Bardeau composite standard,Contreplaqué,Stuc imitation,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,430,Non fini,0,1145,1575.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1575,0,0,1575,1,0,2,0,2,1,Bon,5,Typ,0,NA,Attaché à la maison,1992.0,Partiellement aménagé,2,529,Moyen,Moyen,Pavé,0,0,52,0,0,0,NA,NA,NA,0,Juillet,2007,Acte de garantie - Conventionnel,Vente normale,179200,12.09626335986454,15,15,15.0,3150.0,52,3.0,1
286,2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel flottant,35,4251,Pavé,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison de ville (bout),Deux étages,Bon,Moyenne,2006,2007,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,625,625.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,625,625,0,1250,0,0,2,1,2,1,Bon,5,Typ,0,NA,Détaché de la maison,2006.0,Partiellement aménagé,2,528,Moyen,Moyen,Pavé,0,54,0,0,0,0,NA,NA,NA,0,Juin,2007,Maison neuve construite et vendue,Maison incomplète,164700,12.011886987792716,1,0,1.0,1875.0,54,2.5,1
287,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,77,9786,Pavé,NA,Légèrement irrégulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Bon,1962,1981,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,600,Non fini,0,312,912.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1085,649,0,1734,0,0,1,1,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1962.0,Partiellement aménagé,2,440,Moyen,Moyen,Pavé,0,0,0,0,128,0,NA,Bonne intimité,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,159000,11.976665770490769,44,25,44.0,2646.0,128,1.5,1
288,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,8125,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,En dessous de la moyenne,1971,1971,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,614,Non fini,0,244,858.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,858,0,0,858,0,0,1,0,3,1,Moyen,5,Typ,0,NA,NA,,NA,0,0,NA,NA,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,88000,11.38510345703214,35,35,0.0,1716.0,0,1.0,0
289,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,9819,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1967,1967,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,31,Moyen,Bon,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,450,Non fini,0,432,882.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,900,0,0,900,0,0,1,0,3,1,Moyen,5,Typ,0,NA,Détaché de la maison,1970.0,Non aménagé,1,280,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Intimité minimale,NA,0,Février,2010,Acte de garantie - Conventionnel,Vente normale,122000,11.711784520403112,43,43,40.0,1782.0,0,1.0,1
290,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,60,8730,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Brookside,Adjacente à une voie ferrée nord-sud,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Bon,1915,2003,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,698,698.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,698,698,0,1396,0,0,1,0,3,1,Moyen,7,Typ,0,NA,Détaché de la maison,2003.0,Non aménagé,1,384,Moyen,Moyen,Pavé,0,0,0,0,259,0,NA,NA,NA,0,Juillet,2007,Acte de garantie - Conventionnel,Vente normale,153575,11.941950837487406,92,4,4.0,2094.0,259,1.0,1
