identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente
400,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel flottant,65,8125,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2006,2007,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Pierre,100,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,812,Non fini,0,280,1092.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1112,438,0,1550,1,0,2,0,2,1,Bon,7,Typ,0,NA,Attaché à la maison,2007,Aménagé,2,438,Moyen,Moyen,Pavé,0,168,0,0,0,0,NA,NA,NA,0,Octobre,2009,Acte de garantie - Conventionnel,Vente normale,241000
401,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,38,14963,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Veenker,Normale,Normale,Maison de ville (bout),Un étage,Très bon,Moyenne,1996,1996,Pignon,Bardeau composite standard,Brique apparente,Brique apparente,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,786,Non fini,0,474,1260.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1288,0,0,1288,1,0,1,1,1,1,Excellent,4,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1996,Aménagé,2,500,Moyen,Moyen,Pavé,120,30,0,0,224,0,NA,NA,NA,0,Décembre,2008,Acte de garantie - Conventionnel,Vente normale,245500
402,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,65,8767,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2005,2005,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,24,Non fini,0,1286,1310.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1310,0,0,1310,0,0,2,0,3,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2005,Aménagé,2,400,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juillet,2006,Maison neuve construite et vendue,Maison incomplète,164990
403,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel basse densité,60,10200,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Très bon,1940,1997,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,672,672.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,672,0,0,672,0,0,1,0,2,1,Moyen,4,Typ,0,NA,Détaché de la maison,1940,Non aménagé,1,240,Moyen,Moyen,Gravier/Terre,168,0,0,0,0,0,NA,Bonne intimité,NA,0,Août,2008,Acte de garantie - Conventionnel,Vente normale,108000
404,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,93,12090,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,1998,1998,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,650,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,1141,1141.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1165,1098,0,2263,0,0,2,1,4,1,Bon,10,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",1998,Aménagé,2,420,Moyen,Moyen,Pavé,144,123,0,0,0,0,NA,NA,NA,0,Juillet,2006,Acte de garantie - Conventionnel,Vente anormale,258000
405,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,10364,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,1995,1996,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,806,806.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,806,766,0,1572,0,0,2,1,3,1,Moyen,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",1995,Aménagé,2,373,Moyen,Moyen,Pavé,0,40,0,0,0,0,NA,NA,NA,0,Mai,2007,Acte de garantie - Conventionnel,Vente normale,168000
406,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,9991,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Sawyer,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,En dessous de la moyenne,En dessous de la moyenne,1976,1993,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,1116,Non fini,0,165,1281.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1620,0,0,1620,1,0,2,0,3,1,Moyen,8,Min1,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1993,Non aménagé,2,490,Moyen,Moyen,Pavé,120,78,0,0,0,0,NA,Bonne qualité en bois,NA,0,Juin,2009,Acte de garantie - Conventionnel,Vente normale,150000
407,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,51,10480,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sud et Ouest de l'Université d'État de l'Iowa,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Moyenne,1936,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,1064,1064.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,1166,0,473,1639,0,0,1,0,3,1,Moyen,6,Maj2,0,NA,Détaché de la maison,1936,Non aménagé,1,240,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mars,2008,Acte de garantie - Conventionnel,Vente normale,115000
408,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,63,15576,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Bon,1915,1976,Pignon,Bardeau composite standard,Revêtement en bois,Contreplaqué,Aucune,0,Moyen,Moyen,BrkTil,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,840,840.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,840,840,0,1680,0,0,2,0,4,1,Moyen,8,Typ,0,NA,Attaché à la maison,1960,Non aménagé,1,308,Moyen,Moyen,Pavé,0,0,160,0,0,0,NA,NA,NA,0,Mars,2008,Acte de garantie - Conventionnel,Vente normale,177000
409,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,109,14154,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2006,2006,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,350,Bon,Moyen,PConc,Excellent,Bon,Aucune exposition,Non fini,0,Non fini,0,1063,1063.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1071,1101,0,2172,0,0,2,1,3,1,Bon,9,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2006,Partiellement aménagé,3,947,Moyen,Moyen,Pavé,192,62,0,0,0,0,NA,NA,NA,0,Août,2007,Maison neuve construite et vendue,Maison incomplète,280000
410,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel flottant,85,10800,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2007,2008,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,100,Bon,Moyen,PConc,Excellent,Moyen,Aucune exposition,Fini - Excellent,789,Non fini,0,245,1034.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1050,1028,0,2078,1,0,2,1,3,1,Excellent,8,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2008,Aménagé,3,836,Moyen,Moyen,Pavé,0,102,0,0,0,0,NA,NA,NA,0,Avril,2008,Maison neuve construite et vendue,Maison incomplète,339750
411,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,68,9571,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Moyenne,Médiocre,1958,1958,Pignon,Bardeau composite standard,Brique commune,Brique commune,Aucune,0,Moyen,Médiocre,CBlock,Moyen,Médiocre,Aucune exposition,Non fini,0,Non fini,0,1276,1276.0,Chauffage à gaz,Moyen,Oui,Fusibles anciens,1276,0,0,1276,0,0,1,0,3,1,Moyen,5,Mod,0,NA,Attaché à la maison,1958,Non aménagé,1,350,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juin,2009,Acte de l'officier judiciaire/Etat,Vente anormale,60000
412,CONVERSION 2 FAMILLES - TOUS STYLES ET ÂGES,Résidentiel basse densité,100,34650,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Conversion deux familles,Un étage,Moyenne,Moyenne,1955,1955,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,1056,Non fini,0,0,1056.0,Chauffage à gaz,Moyen,Non,Disjoncteurs,1056,0,0,1056,1,0,1,0,3,1,Moyen,5,Typ,0,NA,Attaché à la maison,1955,Aménagé,2,572,Moyen,Moyen,Pavé,264,0,0,0,0,0,NA,NA,NA,0,Janvier,2006,Acte de garantie - Conventionnel,Vente normale,145000
413,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel flottant,NA,4403,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2009,2009,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Pierre,432,Excellent,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,578,Non fini,0,892,1470.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1478,0,0,1478,1,0,2,1,2,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2009,Aménagé,2,484,Moyen,Moyen,Pavé,0,144,0,0,0,0,NA,NA,NA,0,Juin,2010,Maison neuve construite et vendue,Maison incomplète,222000
414,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,56,8960,Pavé,Gravier,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1927,1950,Pignon,Bardeau composite standard,Bardeaux en bois,Wd Shng,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,1008,1008.0,Chauffage à gaz,Bon,Oui,Fusibles anciens,1028,0,0,1028,0,0,1,0,2,1,Moyen,5,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1927,Non aménagé,2,360,Moyen,Moyen,Pavé,0,0,130,0,0,0,NA,NA,NA,0,Mars,2010,Acte de garantie - Conventionnel,Vente normale,115000
415,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,59,11228,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Sawyer Ouest,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1993,1993,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Partiellement fini,50,Fini - Excellent,531,499,1080.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1080,1017,0,2097,0,1,2,1,3,1,Bon,9,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1993,Non aménagé,3,678,Moyen,Moyen,Pavé,196,187,0,0,0,0,NA,NA,NA,0,Décembre,2008,Acte de garantie - Conventionnel,Vente normale,228000
416,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,73,8899,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2007,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,24,Non fini,0,1316,1340.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1340,0,0,1340,0,0,2,0,3,1,Bon,6,Typ,0,NA,Attaché à la maison,2007,Aménagé,2,396,Moyen,Moyen,Pavé,100,30,0,0,0,0,NA,NA,NA,0,Août,2007,Maison neuve construite et vendue,Maison incomplète,181134
417,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,74,7844,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Bon,1978,1978,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,203,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,209,Non fini,0,463,672.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,672,728,0,1400,0,0,1,1,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1978,Aménagé,2,440,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mars,2006,Acte de garantie - Conventionnel,Vente normale,149500
418,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,86,22420,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Proche d'une route secondaire,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Au-dessus de la moyenne,1918,1950,Pente,Bardeau composite standard,Revêtement en bois,Stuc,Aucune,0,Moyen,Moyen,BrkTil,Bon,Moyen,Aucune exposition,Partiellement fini,1128,Non fini,0,242,1370.0,Chauffage à gaz (chaudière),Moyen,Non,Fusibles anciens,1370,1254,0,2624,1,0,2,1,4,1,Moyen,10,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1918,Non aménagé,3,864,Moyen,Moyen,Gravier/Terre,0,0,0,0,0,0,NA,NA,NA,0,Novembre,2007,Acte de garantie - Conventionnel,Vente normale,239000
419,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,60,8160,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Au-dessus de la moyenne,1940,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Moyenne,312,Non fini,0,444,756.0,Chauffage à gaz,Médiocre,Non,Fusibles,756,378,0,1134,1,0,1,1,3,1,Moyen,7,Typ,0,NA,Détaché de la maison,1940,Non aménagé,1,240,Moyen,Moyen,Pavement partiel,0,0,0,0,0,0,NA,NA,NA,0,Avril,2007,Acte de garantie - Conventionnel,Achat terrain adjoint,126000
420,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,65,8450,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1968,1968,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,775,Non fini,0,281,1056.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1056,0,0,1056,1,0,1,0,3,1,Moyen,6,Typ,1,Médiocre - Préfabriquée au sous-sol,Attaché à la maison,1968,Non aménagé,1,304,Moyen,Moyen,Pavé,0,85,184,0,0,0,NA,NA,NA,0,Juillet,2010,Acte de garantie - Conventionnel,Vente normale,142000
421,DUPLEX - TOUS STYLES ET ÂGES,Résidentiel densité moyenne,78,7060,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Duplex,Foyer divisé,Bon,Moyenne,1997,1998,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,200,Moyen,Bon,PConc,Bon,Bon,Bonne exposition,Fini - Excellent,1309,Non fini,0,35,1344.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1344,0,0,1344,2,0,2,0,2,2,Moyen,8,Typ,0,NA,Attaché à la maison,1997,Aménagé,4,784,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Novembre,2008,Acte de garantie - Conventionnel,Allocation (propriétés liées),206300
422,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,16635,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Bon,1977,2000,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Pierre,126,Bon,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Moyenne,1246,Non fini,0,356,1602.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1602,0,0,1602,0,1,2,0,3,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1977,Aménagé,2,529,Moyen,Moyen,Pavé,240,0,0,0,0,0,NA,NA,NA,0,Juin,2009,Acte de garantie - Conventionnel,Vente normale,215000
423,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,100,21750,Pavé,NA,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Mitchell,Proche d'une artère principale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1954,1954,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,988,988.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,988,0,0,988,0,0,1,0,2,1,Moyen,4,Typ,0,NA,Attaché à la maison,1954,Partiellement aménagé,2,520,Moyen,Moyen,Gravier/Terre,0,0,0,0,0,0,NA,NA,NA,0,Février,2008,Acte de garantie - Conventionnel,Vente normale,113000
424,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,80,9200,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,1998,1998,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,473,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,986,Non fini,0,484,1470.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1470,1160,0,2630,1,0,2,1,4,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1998,Aménagé,3,696,Moyen,Moyen,Pavé,0,66,0,0,0,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,315000
425,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,72,9000,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1956,1956,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,74,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Qualité inférieure,616,Non fini,0,580,1196.0,Chauffage à gaz,Bon,Oui,Fusibles anciens,1196,0,0,1196,1,0,1,0,2,1,Moyen,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1956,Partiellement aménagé,1,297,Moyen,Moyen,Pavé,0,44,0,0,0,0,NA,NA,NA,0,Mai,2008,Acte de garantie - Conventionnel,Vente normale,139000
426,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,60,3378,Pavé,Gravier,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Normale,Normale,Maison individuelle,Deux étages,Bon,Très bon,1946,1992,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Moyen,Bon,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,651,651.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,707,682,0,1389,0,0,1,1,3,1,Moyen,6,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1947,Non aménagé,1,240,Moyen,Moyen,Pavement partiel,0,0,126,0,0,0,NA,NA,NA,0,Septembre,2009,Acte de garantie - Conventionnel,Vente normale,135000
427,NIVEAUX MULTIPLES OU PARTIELS,Résidentiel basse densité,NA,12800,Pavé,NA,Régulier,Dépression,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Sawyer Ouest,Normale,Normale,Maison individuelle,Niveaux divisés,Bon,Moyenne,1989,1989,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,145,Bon,Moyen,PConc,Bon,Moyen,Bonne exposition,Fini - Excellent,1518,Non fini,0,0,1518.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1644,0,0,1644,1,1,2,0,2,1,Bon,5,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1989,Aménagé,2,569,Moyen,Moyen,Pavé,80,0,0,0,396,0,NA,NA,NA,0,Août,2009,Acte de garantie - Conventionnel,Vente normale,275000
428,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,77,8593,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Au-dessus de la moyenne,1957,1957,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,288,Non fini,0,619,907.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,907,0,0,907,0,0,1,0,3,1,Moyen,5,Typ,0,NA,Détaché de la maison,1964,Non aménagé,1,352,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juillet,2008,Acte de garantie - Conventionnel,Vente normale,109008
429,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,64,6762,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2007,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,108,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,664,Non fini,0,544,1208.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1208,0,0,1208,1,0,2,0,2,1,Bon,6,Typ,0,NA,Attaché à la maison,2007,Partiellement aménagé,2,628,Moyen,Moyen,Pavé,105,54,0,0,0,0,NA,NA,NA,0,Septembre,2007,Maison neuve construite et vendue,Maison incomplète,195400
